14.645095,24.796645,27.779847,27.196153,21.941216,23.095043,28.300280,18.663662,15.795215,22.637646;36.612738,61.991611,69.449617,67.990381,54.853039,57.737607,70.750700,46.659154,39.488038,56.594115
28.541283,11.755435,16.647971,20.523618,14.932842,20.857989,25.617357,20.437648,28.638999,12.942240;71.353207,29.388588,41.619928,51.309045,37.332106,52.144973,64.043393,51.094119,71.597497,32.355599
24.184819,22.826827,13.481217,11.243039,18.133188,19.261259,14.053486,27.390998,21.958807,10.460271;60.462048,57.067068,33.703043,28.107597,45.332971,48.153146,35.133715,68.477495,54.897018,26.150677
11.980345,21.419763,16.517502,19.009847,21.556876,11.496886,11.146853,16.019129,20.434425,21.237605;29.950862,53.549407,41.293755,47.524617,53.892190,28.742215,27.867133,40.047822,51.086062,53.094012
29.108751,12.853007,20.251268,29.438503,22.966412,22.293420,19.393007,21.555614,28.226265,17.524406;72.771877,32.132517,50.628169,73.596257,57.416031,55.733550,48.482519,53.889035,70.565661,43.811014
20.354470,11.236494,14.627344,12.369720,11.975601,27.805509,10.667782,26.780700,20.145334,12.274329;50.886176,28.091236,36.568361,30.924300,29.939002,69.513773,26.669454,66.951750,50.363336,30.685822
28.826011,14.882161,29.142203,20.216499,21.291597,29.874323,25.419679,16.276038,11.157452,10.881476;72.065027,37.205404,72.855508,50.541248,53.228993,74.685807,63.549197,40.690096,27.893631,27.203690
14.897611,17.579433,15.406392,14.311986,22.674622,25.994311,14.170281,27.925124,24.914189,20.727716;37.244026,43.948583,38.515981,35.779965,56.686556,64.985779,35.425701,69.812810,62.285474,51.819290
25.560367,18.533448,15.599238,16.670160,17.338799,25.895848,10.773816,24.533387,27.453689,15.716296;63.900918,46.333619,38.998094,41.675401,43.346998,64.739621,26.934539,61.333467,68.634223,39.290739
26.956808,20.092325,10.158217,28.381464,18.214096,24.647315,13.022106,26.304666,28.192051,25.558849;67.392020,50.230812,25.395542,70.953659,45.535240,61.618287,32.555264,65.761664,70.480127,63.897123
20.929682,21.016555,23.890735,28.549882,28.884206,28.065267,22.082126,28.524195,12.338925,16.816030;52.324206,52.541388,59.726838,71.374705,72.210515,70.163166,55.205314,71.310488,30.847313,42.040075
22.778873,27.862965,11.213808,13.515431,18.326637,24.795837,27.859096,10.517066,12.751261,18.481749;56.947182,69.657412,28.034519,33.788577,45.816593,61.989592,69.647740,26.292665,31.878151,46.204372
17.211655,13.821465,24.287953,13.557340,29.736975,10.339983,10.795929,26.086611,27.195846,21.325051;43.029138,34.553663,60.719883,33.893351,74.342437,25.849956,26.989823,65.216527,67.989614,53.312626
23.467933,23.705341,23.914896,25.996629,23.212103,20.398732,16.634728,28.683454,14.929539,20.224127;58.669831,59.263352,59.787240,64.991572,58.030258,50.996830,41.586821,71.708636,37.323847,50.560319
17.337519,15.516911,15.321950,14.530773,10.026416,27.860147,19.069950,21.568420,16.312111,29.880338;43.343797,38.792277,38.304875,36.326932,25.066039,69.650369,47.674875,53.921050,40.780277,74.700844
14.431603,14.079190,22.481986,24.504102,26.687284,10.377908,14.042353,19.381859,17.567904,16.807875;36.079007,35.197975,56.204965,61.260256,66.718209,25.944769,35.105882,48.454648,43.919759,42.019687
22.353404,21.250668,26.611214,29.153975,11.510113,27.760488,21.248946,13.887103,14.429056,24.115261;55.883510,53.126670,66.528035,72.884937,28.775283,69.401220,53.122365,34.717756,36.072640,60.288152
17.448709,13.257459,17.790376,25.999531,17.995874,25.102382,15.904208,22.800118,27.702343,14.192866;43.621773,33.143648,44.475940,64.998828,44.989685,62.755954,39.760521,57.000296,69.255858,35.482166
29.523206,25.630745,28.711664,24.783043,15.072395,24.385006,23.870252,25.466379,24.944342,16.367673;73.808015,64.076862,71.779160,61.957608,37.680988,60.962514,59.675631,63.665948,62.360854,40.919183
12.588785,20.987693,29.390186,18.842810,21.819279,12.219405,13.997046,13.259282,10.737549,15.454493;31.471962,52.469233,73.475466,47.107024,54.548196,30.548512,34.992615,33.148205,26.843871,38.636233
19.909459,22.183740,10.096169,21.754575,25.549248,23.143664,20.566294,26.515463,29.248675,16.274729;49.773647,55.459350,25.240423,54.386438,63.873121,57.859159,51.415735,66.288658,73.121688,40.686823
23.625119,24.290735,19.195618,28.385368,29.778868,28.652022,19.230467,28.098443,17.729033,22.060331;59.062797,60.726836,47.989044,70.963420,74.447171,71.630056,48.076167,70.246108,44.322583,55.150828
15.731279,17.096524,20.715234,29.816660,10.563562,24.190640,28.103140,27.316588,12.383386,29.105504;39.328198,42.741311,51.788085,74.541649,26.408904,60.476601,70.257851,68.291469,30.958466,72.763760
10.681938,25.644994,16.544902,26.349527,13.472381,23.522355,27.512010,25.143109,14.592514,17.178872;26.704845,64.112485,41.362254,65.873816,33.680953,58.805887,68.780024,62.857774,36.481286,42.947181
23.693595,21.091346,10.120717,15.761703,17.532231,12.929861,11.490672,19.214858,17.407888,26.491150;59.233987,52.728366,25.301792,39.404258,43.830578,32.324652,28.726681,48.037144,43.519719,66.227876
22.898769,15.744083,16.438618,13.108336,17.753263,27.914663,27.755337,17.872267,23.509155,15.044284;57.246922,39.360207,41.096545,32.770840,44.383157,69.786657,69.388343,44.680666,58.772887,37.610710
25.635116,26.147304,15.301072,27.917988,22.159722,10.288017,16.880575,20.673295,22.555252,18.934746;64.087791,65.368260,38.252680,69.794970,55.399304,25.720042,42.201437,51.683237,56.388129,47.336865
25.278532,28.952786,16.670945,17.794768,13.008258,16.674088,21.073577,21.005879,13.208421,12.341789;63.196331,72.381965,41.677364,44.486919,32.520644,41.685221,52.683941,52.514697,33.021052,30.854473
27.738082,28.100966,19.967779,20.584539,28.194014,21.571969,25.515702,23.227893,19.393145,14.395352;69.345205,70.252414,49.919448,51.461348,70.485036,53.929922,63.789255,58.069732,48.482862,35.988381
10.859354,26.710151,17.386164,23.226786,27.914398,15.481981,29.957970,26.687068,25.826874,23.132254;27.148386,66.775377,43.465409,58.066965,69.785996,38.704953,74.894924,66.717669,64.567184,57.830635
16.676942,14.106336,19.887141,10.624179,26.551488,15.285149,23.549987,25.877287,23.636877,23.015185;41.692354,35.265839,49.717853,26.560448,66.378721,38.212872,58.874967,64.693217,59.092193,57.537962
11.749177,16.178308,14.617568,28.183741,28.737687,10.637577,21.872941,10.876350,18.498057,20.431626;29.372943,40.445769,36.543920,70.459353,71.844217,26.593942,54.682352,27.190876,46.245142,51.079064
11.737909,17.509951,13.747621,26.210534,24.464964,23.493481,28.279628,26.419218,20.974493,10.310832;29.344772,43.774877,34.369053,65.526334,61.162410,58.733702,70.699071,66.048045,52.436232,25.777080
29.183044,28.604657,17.314590,16.898248,23.853633,24.332077,26.006870,21.873410,11.943500,21.190183;72.957610,71.511643,43.286474,42.245619,59.634081,60.830193,65.017175,54.683524,29.858751,52.975458
25.406002,20.192933,24.139266,25.823478,16.613380,28.273503,21.534099,15.758185,15.337297,27.803564;63.515006,50.482332,60.348164,64.558695,41.533451,70.683757,53.835248,39.395464,38.343243,69.508909
21.289163,22.670886,19.961995,11.192473,20.303264,11.063899,26.872638,21.893456,23.820377,22.944535;53.222908,56.677215,49.904988,27.981181,50.758159,27.659747,67.181596,54.733639,59.550942,57.361339
13.253148,18.561922,10.837037,14.514925,23.323007,27.426898,16.894567,10.545031,28.105653,19.421245;33.132871,46.404806,27.092593,36.287313,58.307518,68.567244,42.236417,26.362578,70.264133,48.553112
22.656655,18.310914,21.529996,29.190011,22.316965,13.011558,26.765414,24.523308,12.176924,13.227031;56.641637,45.777285,53.824990,72.975026,55.792411,32.528895,66.913535,61.308271,30.442310,33.067577
16.947932,23.389912,15.906045,23.608559,17.875461,17.836367,14.139266,24.490406,26.386107,28.529433;42.369830,58.474780,39.765112,59.021398,44.688653,44.590916,35.348165,61.226015,65.965268,71.323582
