11.866082;13.284199,17.279234,23.700873,21.559095,13.275410,10.711199,28.119333,25.325415,10.437513,29.369775;50.971409
17.573382;11.502001,25.420601,27.878683,17.825806,18.403028,23.209725,18.782628,24.434061,13.306598,17.807140;65.790482
14.762637;26.479003,21.567326,11.862598,24.965887,29.357783,24.888656,27.954995,25.253890,17.868742,26.101826;62.536662
17.458799;15.883095,15.639994,18.183300,22.128437,18.741791,21.086378,24.343964,17.325024,13.823650,28.179243;65.180485
10.332699;28.462437,19.809421,28.044061,20.875463,23.156664,20.174932,28.125493,26.434109,20.697435,14.165984;50.826347
15.656838;11.484494,10.055585,10.019574,12.739968,10.943784,24.091637,16.655633,14.513210,13.433888,19.159025;55.451775
16.272935;14.140940,22.653874,10.478950,17.484900,27.003898,28.376518,26.890026,12.748034,12.190962,12.223809;61.101528
11.698096;28.920380,10.658407,25.603724,26.751646,21.730379,25.962514,12.382420,26.755362,12.956767,15.697335;51.987133
18.214039;20.861260,20.304289,17.584652,23.968346,21.192307,14.501011,17.621666,27.599655,16.798869,10.517189;66.630022
14.362551;10.360844,10.692118,15.206397,15.434699,17.034266,16.875226,15.442704,19.357406,25.737609,19.808294;54.501333
11.268466;29.546277,21.376112,14.312278,14.838132,25.509981,28.408395,25.100859,29.837156,14.956177,13.726750;51.932377
13.977256;23.041212,11.734620,21.144561,19.563596,20.431978,15.558891,15.018708,19.876964,24.732032,22.435770;56.296972
15.939015;11.971265,18.450816,15.642875,16.419759,16.895104,20.315765,22.433773,10.592012,12.978120,11.590993;57.576587
12.884474;20.014041,27.770330,11.294223,21.583910,13.067551,25.951149,13.913071,28.493397,18.556739,12.145949;53.490221
13.282760;25.861172,27.513096,19.660492,23.610762,29.062559,13.025486,11.521011,25.264340,11.453646,15.624144;55.466570
19.511331;13.204845,21.867129,20.309506,18.871839,28.068919,19.265628,17.410409,14.168740,22.471694,11.517654;69.493965
15.533289;15.485483,10.017829,26.169013,18.032577,24.205014,11.983672,22.006183,14.660965,28.650189,12.410285;59.195344
17.448552;14.863522,14.700206,19.089314,27.005740,20.181134,24.650862,14.520789,10.841376,10.353450,19.967737;63.238792
11.104925;28.040193,18.963415,24.178239,24.402468,25.477416,28.599284,10.235198,12.408324,28.986087,25.810587;52.472435
17.940237;14.134914,14.715217,14.314420,28.569511,23.704131,27.584747,24.386466,29.839159,25.195143,10.014627;68.096427
15.389172;24.495205,25.467829,15.687216,16.472123,23.909032,25.936081,20.823773,29.439434,25.646425,18.198396;63.080480
17.199401;16.826078,21.040370,10.892044,28.812562,16.621605,18.825440,10.100684,14.414922,21.992032,11.042946;62.055371
10.368358;17.923305,10.137581,26.700367,26.367255,10.201890,26.671560,12.127895,18.340864,11.470847,16.312884;45.546339
14.960070;10.942554,14.560874,18.048817,21.464307,22.169314,12.702516,20.194034,21.852777,13.540184,20.950381;57.042750
15.604653;27.691994,28.236156,12.688611,14.374832,17.566402,14.526419,18.321194,28.225256,10.729158,12.425181;59.490154
15.073406;18.321354,16.225806,27.328490,25.738874,28.389771,10.120266,19.178453,17.444247,13.386941,20.508103;59.347745
15.592339;15.949414,28.344910,19.130624,17.654686,24.712546,16.591684,27.694293,22.660644,13.162717,26.438617;62.214860
10.466362;22.356706,13.928083,17.337433,13.328417,11.871072,18.712349,13.730601,16.312252,29.810593,17.491489;45.653804
19.249330;24.838917,11.343368,13.599601,16.955698,16.642179,19.456916,29.119334,28.640727,17.087649,23.852593;70.277024
19.766710;25.524355,20.891341,18.958979,24.932214,13.395501,19.140836,24.929359,18.124000,15.964989,13.624253;70.965357
