16.065115;14.225920,20.836904,14.320798,27.716312,12.764691,17.371907,27.727794,13.164505,13.798826,22.045134;3.425871,1.052291,-3.318944,9.012587,-4.679417,1.420154,-1.765540,-3.335696,2.502714,6.440949;-288.320943
19.750767;19.104954,19.631800,21.432878,28.324633,28.931747,19.419740,14.820712,15.261285,13.450823,13.600079;-3.808817,2.594047,1.712142,8.813539,9.703347,5.747373,-3.277574,7.304970,8.463938,-2.955695;-750.467460
13.603896;29.980108,27.138295,26.527658,14.550224,22.384083,26.046430,22.568418,24.365150,29.906840,21.866905;4.994555,3.496463,0.613569,5.257432,3.461278,8.343920,-1.492189,0.136283,4.314381,6.960610;-852.269861
17.736600;21.269135,20.443738,27.408703,23.456708,22.517826,27.325312,23.367620,25.948862,17.147268,20.416278;1.124095,0.098435,5.952966,8.884066,-4.165518,3.096696,6.616406,5.552623,-1.275798,0.166045;-630.423966
10.138314;20.532478,17.035498,18.575795,27.946278,28.493741,16.123225,18.041406,14.371570,29.022350,29.746146;1.295831,6.606440,9.579081,-2.741405,-1.398126,-1.498511,-2.219852,-0.677583,5.353600,-1.137741;-226.629605
15.783439;15.807146,28.957400,10.406812,26.801093,19.704210,14.462458,22.489644,24.933511,25.101920,22.953373;4.478772,5.705299,-3.709594,6.026434,6.027360,-3.850008,4.298342,8.206253,-0.831342,-4.168182;-572.952526
19.428504;29.255664,18.411532,22.779988,11.795748,20.737312,15.867402,17.305546,11.943383,12.287176,27.245912;4.096889,2.943894,6.936727,-3.072981,-3.212029,1.297722,2.744899,8.752012,5.352680,-1.660371;-381.098566
16.226617;14.336044,19.868505,22.851626,13.532634,28.228253,25.135716,19.036459,22.480782,27.352616,27.296086;-1.155130,0.355165,0.648787,3.510717,8.482313,2.774361,7.333556,4.563268,-0.126813,7.783225;-777.311624
12.574989;27.170001,13.535251,26.145351,18.446682,23.742684,13.908378,29.075503,20.742328,18.867686,26.770228;7.980033,0.994042,0.287814,-2.998410,6.979482,-1.751491,9.065754,3.398517,2.507447,2.477979;-743.523817
10.406258;19.366202,10.488885,12.910335,11.960467,10.115912,16.319005,13.160726,21.277995,23.132095,27.405253;6.996672,7.931148,-4.878451,-0.783638,2.216878,-0.963675,-3.013149,1.558095,-3.206973,0.911595;-75.839321
10.562693;20.659393,12.743390,17.954537,15.429182,25.403461,24.298646,22.245370,15.956707,19.146539,27.262088;3.341542,9.867453,6.411981,-4.514645,-4.335356,0.383103,0.635423,3.925263,1.778167,1.515718;-268.532348
13.207528;23.281608,11.452483,17.972922,13.043115,13.096936,10.226328,13.821791,17.378077,23.585503,27.722922;8.200161,2.395567,8.768803,4.952877,9.460053,-2.535305,4.149780,6.840969,4.256779,8.353070;-1014.831665
15.201269;15.208557,10.157904,18.808959,19.610451,14.585067,29.765975,22.551318,13.426808,12.125386,10.799934;-3.730419,2.710161,3.920174,0.491405,4.866260,5.859875,1.653196,7.145255,-3.868607,-4.198599;-308.645296
14.180298;23.247876,17.144909,18.587036,11.112891,13.033485,27.051018,10.098210,17.974137,27.939705,26.160118;-0.532814,-3.108919,-0.819191,9.879918,6.484904,-3.058770,0.450305,7.946116,9.132286,-2.633133;-333.564758
12.917669;26.621560,28.530206,26.747422,25.741161,19.388033,29.413773,19.592405,28.876598,15.426400,15.063838;9.374055,5.944717,1.722433,4.947938,-1.085782,5.559878,0.549860,1.542547,9.249131,1.650022;-928.150330
12.065946;13.449861,26.863814,10.578167,19.165502,26.193349,27.614973,19.002595,28.203127,15.449313,18.890431;2.739824,-2.712306,7.074921,0.230907,-0.513752,-1.230056,5.501152,1.564818,-1.899523,-0.571754;-79.199246
15.514119;17.213089,28.916618,15.861068,28.004223,13.190401,14.318153,15.539518,27.975791,11.431713,11.686116;7.780265,3.684062,-1.512962,4.532438,-4.465347,9.610824,8.229000,4.626499,-0.296163,-2.145638;-616.905066
11.611087;20.990945,10.760077,26.952687,24.055217,22.420534,29.613266,18.761345,25.272013,18.510447,21.754891;-0.195015,9.577201,-3.964220,7.254560,5.156110,-2.292090,4.344888,1.170938,-1.277525,-2.230565;-228.306015
10.829283;16.360310,23.977601,20.750359,11.610227,27.827842,24.432662,16.665677,13.307522,17.546322,21.802397;4.802406,9.865507,5.625218,3.320162,2.075255,5.181185,1.879492,1.964651,-4.569556,1.487457;-639.630259
11.904864;19.966475,19.491261,27.694362,14.740225,20.061241,12.129356,14.738061,14.097740,24.505683,12.399967;-0.305629,3.986256,9.638135,8.659269,-1.835024,-0.859289,-0.788215,-1.783541,4.161840,-4.487209;-403.059352
18.505336;19.834658,22.960832,16.904423,17.626608,25.036537,11.851671,26.783719,22.690882,23.251095,22.316467;2.358338,9.965328,1.131473,7.612116,6.791670,4.309899,0.915522,1.362955,6.073835,-2.173883;-757.323409
11.358119;24.673698,13.252381,19.226431,22.589853,23.264446,11.137978,22.104795,25.516720,12.624291,23.696804;-3.843083,2.607733,-0.463777,3.066560,-0.518875,0.039230,-4.149470,-0.424299,-3.414778,6.245205;31.840820
19.628093;26.833715,11.579132,20.105864,26.325899,16.973817,27.681482,22.756897,13.737978,13.908624,28.185774;6.930295,2.456544,0.356432,-0.655103,2.761757,7.879232,0.046281,1.040342,9.426352,-4.849403;-437.290132
13.144187;14.688811,16.937471,11.114931,24.013791,23.481280,26.667077,25.069614,14.410597,13.051356,22.749430;6.042668,-3.887116,1.095775,-1.881185,4.498213,8.891319,-3.211707,0.227406,-3.281869,-0.124161;-182.634153
17.311327;19.646397,22.205629,17.390103,27.037281,21.852353,29.980021,25.647129,10.768860,11.002632,13.472966;1.529730,1.755339,4.937593,7.341577,-3.922608,-1.559847,-3.887112,5.515095,-0.380162,4.241038;-197.386035
14.646346;17.874819,24.882004,28.096291,25.732475,23.071252,12.140671,13.740452,13.135733,21.249506,19.522174;-0.567049,5.774442,8.681116,-1.884669,-1.440260,-1.619484,-4.394873,9.676013,4.202931,5.268095;-503.270070
18.594170;26.309993,25.045270,29.248015,10.828503,24.861417,23.769558,13.499562,26.104332,27.560848,11.737800;0.970372,9.547016,-3.506321,0.009256,-4.896766,5.921647,7.946960,1.919829,-1.299071,0.575870;-270.644818
