4.519207,5.403603,1.505620,0.827582,1.400407,2.150084,1.772508,5.614928,0.357883,3.606001;0.764644
1.427615,5.666721,4.149133,5.822683,2.677839,5.692020,0.085006,3.711842,4.856455,1.447889;0.280421
1.792775,2.465326,5.222344,3.738437,5.997127,1.272193,5.013255,4.105170,1.543697,2.904714;0.466346
4.504819,4.597305,2.384773,2.625815,5.788068,3.487828,5.148332,1.708072,3.783942,3.580170;0.158986
3.768896,1.613742,2.723937,5.113997,1.227230,1.873110,2.949767,2.076872,4.840915,5.974925;1.033030
5.961420,3.406864,5.651551,4.372059,2.954231,3.884187,5.375821,1.242421,2.422198,6.003052;0.075701
4.526633,4.025097,3.189880,1.609366,5.821963,3.291224,0.231621,4.227887,3.168297,0.404183;1.906154
5.330398,2.715982,4.585485,3.669778,4.749596,0.733584,5.921383,5.141580,0.353879,2.847211;0.240449
0.698276,2.809254,2.755297,3.356842,4.882426,4.255100,5.283413,0.363153,1.368088,2.807852;1.425060
4.560168,2.260105,5.700907,0.153035,5.024335,3.809546,3.282479,3.953046,4.409777,0.616931;0.520416
0.385715,4.951131,3.223535,4.216103,1.324429,3.309680,4.265122,5.788607,2.717253,0.562387;1.800673
4.700167,5.535127,4.745304,1.823205,0.961074,5.137463,4.759128,1.674989,1.416864,1.976139;0.803216
1.724235,4.102252,5.471987,5.501155,4.533182,1.613069,4.187827,0.840984,0.791005,1.195417;1.999395
1.743231,5.905745,0.268553,2.007467,5.888082,2.240196,1.904898,0.775474,5.544594,0.862869;0.759114
2.089917,5.130266,1.526417,3.538948,5.676061,0.336724,0.373866,0.173708,4.138871,3.641771;0.610494
0.678933,5.200117,4.239199,4.452453,3.953184,3.147623,2.008329,4.020657,0.755393,0.936904;1.862648
1.653164,4.572416,5.440258,4.420664,2.490981,5.679895,1.582565,3.248979,5.778529,1.656485;0.210253
4.825730,1.450243,3.655034,0.724774,3.144594,5.077044,5.574741,3.039368,1.715667,3.965120;0.663853
0.601231,2.462532,1.821085,1.888981,0.683367,3.612966,1.746365,0.981330,0.053952,1.751573;0.047111
2.479751,1.091433,3.501102,3.687308,1.336674,3.169594,5.985115,2.989491,4.219239,2.518531;1.678712
4.951467,1.186829,0.792161,4.975979,3.877386,0.146719,5.425728,3.142250,3.317132,3.688653;1.376855
