11.251552,34.313557,30.461823,36.756030,27.251884,35.569517,38.235489,15.328396,29.782482,11.445949;-0.824431,-4.945651,-2.012107,-0.533145,-4.497114,-0.727379,-4.920723,-2.396856,-3.218710,-3.869283;35.496680,58.558685,54.706951,61.001158,51.497012,59.814645,62.480617,39.573524,54.027610,35.691077
38.079795,20.975028,25.932943,19.656549,35.640045,38.227477,37.518444,20.172303,25.506513,37.862614;-3.496335,-3.701018,-4.271915,-4.025780,-0.710723,-1.706460,-0.013619,-1.102694,-3.501675,-3.591518;65.424792,48.320026,53.277940,47.001547,62.985043,65.572475,64.863442,47.517301,52.851511,65.207611
16.224512,23.012595,16.477987,35.817645,39.378393,31.352017,27.302499,37.167546,21.671068,17.003231;-1.034265,-3.530619,-4.730185,-1.893442,-0.047075,-1.873825,-3.070239,-3.514442,-3.761750,-4.244704;39.995207,46.783290,40.248682,59.588340,63.149088,55.122712,51.073194,60.938241,45.441763,40.773926
24.216013,17.942688,38.804286,19.444659,26.263407,19.113350,14.892840,24.233069,15.389414,16.332136;-4.318982,-1.053217,-3.057954,-0.862640,-3.470569,-2.725038,-3.958934,-2.480978,-2.191063,-3.445296;43.122732,36.849407,57.711005,38.351379,45.170126,38.020069,33.799559,43.139788,34.296133,35.238855
22.444463,27.577409,12.243858,25.545389,35.272904,33.651441,36.723955,34.201691,20.023753,24.574331;-3.048420,-3.437594,-3.919564,-2.161650,-4.247290,-1.499472,-3.130653,-3.190534,-4.741024,-3.350840;46.397678,51.530624,36.197073,49.498604,59.226119,57.604656,60.677170,58.154906,43.976968,48.527547
37.226251,13.117181,31.939195,21.463446,34.208981,22.707645,27.223251,14.973040,25.071017,38.190345;-4.572097,-1.210514,-0.377403,-3.728583,-3.813510,-1.562058,-3.793125,-2.099718,-1.450571,-3.943143;61.183214,37.074144,55.896158,45.420409,58.165943,46.664608,51.180214,38.930003,49.027980,62.147308
32.114213,26.492640,15.575556,21.026030,30.665209,30.716230,36.926957,15.415877,39.931736,30.824526;-4.682509,-0.231739,-1.390262,-4.954333,-1.551586,-4.305448,-1.787286,-3.005366,-2.047665,-2.118995;57.475592,51.854019,40.936935,46.387409,56.026588,56.077609,62.288336,40.777256,65.293115,56.185904
28.523609,13.783840,21.737504,19.757466,25.674332,17.496321,26.549045,29.112197,25.250883,12.236573;-1.465937,-2.506197,-0.766511,-0.863045,-2.424176,-1.471792,-2.715497,-1.837562,-3.957705,-1.122836;48.622660,33.882892,41.836556,39.856517,45.773384,37.595373,46.648097,49.211248,45.349934,32.335625
21.078669,24.778546,14.595290,27.062192,29.747576,35.594488,19.604295,30.745778,33.875841,31.613868;-2.817076,-1.877033,-0.694495,-1.901946,-2.484410,-0.462396,-3.887532,-1.710765,-3.648527,-0.382545;45.961651,49.661528,39.478272,51.945173,54.630558,60.477470,44.487277,55.628760,58.758823,56.496850
12.454894,26.640312,13.088845,25.450255,30.043069,36.961304,25.789274,29.055148,14.523251,36.528901;-3.245005,-1.570663,-0.141621,-4.251138,-0.245080,-4.625073,-3.288806,-3.278366,-2.229823,-3.760494;34.844812,49.030230,35.478763,47.840173,52.432988,59.351223,48.179193,51.445066,36.913170,58.918819
34.393563,15.518927,20.299569,27.448451,37.639442,23.987036,11.356622,26.690885,30.216578,12.038931;-2.076428,-4.774676,-4.970973,-0.000149,-3.103002,-4.895025,-2.640449,-0.347496,-0.149340,-0.400755;56.016735,37.142098,41.922740,49.071622,59.262613,45.610207,32.979793,48.314057,51.839749,33.662102
33.258598,32.900489,26.376672,25.193632,16.202887,10.041356,23.881851,24.285894,39.955635,12.480819;-3.588204,-2.010181,-1.493664,-2.067450,-1.964351,-3.386367,-0.652776,-4.638143,-4.512741,-2.718437;55.013150,54.655041,48.131224,46.948184,37.957439,31.795908,45.636403,46.040446,61.710187,34.235371
22.533383,36.105092,38.439272,19.078133,10.927006,24.145105,10.074725,39.817235,34.573953,37.291814;-1.034936,-1.326642,-1.268542,-0.437035,-1.610435,-4.100519,-0.313357,-4.388236,-2.425422,-1.724628;47.968980,61.540689,63.874869,44.513730,36.362602,49.580702,35.510322,65.252832,60.009550,62.727411
27.932986,23.877602,12.089342,10.119513,36.295677,19.443822,37.447688,20.075955,34.400711,10.078088;-2.644260,-1.794288,-0.943656,-3.636612,-2.830515,-0.796699,-2.737191,-4.716980,-0.814696,-1.069301;48.910705,44.855321,33.067060,31.097231,57.273395,40.421541,58.425406,41.053673,55.378430,31.055807
37.645372,38.336026,31.759418,34.705943,11.471272,15.981442,35.820783,20.004446,30.157767,29.747527;-2.470848,-3.796465,-2.526212,-2.676480,-0.387289,-0.194994,-4.650801,-3.193354,-2.110935,-4.028801;63.604754,64.295408,57.718800,60.665325,37.430654,41.940824,61.780165,45.963828,56.117148,55.706909
13.177839,34.086132,20.568740,13.152508,12.807581,21.978637,18.277971,18.424222,22.379698,17.732321;-2.597125,-4.251124,-0.935558,-3.878644,-4.476782,-1.594295,-0.481406,-3.907007,-3.000881,-1.319643;29.792157,50.700450,37.183059,29.766827,29.421899,38.592956,34.892289,35.038541,38.994016,34.346639
25.050008,39.225965,32.775894,21.783197,23.254308,10.829005,26.228684,16.751948,17.401726,15.831336;-0.000053,-3.414532,-1.202611,-3.169010,-4.624314,-3.295458,-2.271809,-0.689214,-4.467359,-1.274090;45.522370,59.698327,53.248256,42.255559,43.726670,31.301367,46.701046,37.224310,37.874088,36.303698
23.880581,15.706305,21.403602,33.131371,28.568517,22.544693,26.358513,29.384459,27.069192,20.424401;-2.651522,-0.547821,-4.455838,-1.918082,-2.770046,-1.597030,-1.079406,-2.489961,-0.323458,-0.599254;46.884502,38.710226,44.407523,56.135292,51.572438,45.548615,49.362434,52.388380,50.073114,43.428322
27.496468,36.703595,19.847501,39.429718,12.268869,38.131681,38.460718,39.915188,34.898997,19.984671;-2.423347,-1.159735,-1.235528,-1.121791,-0.264774,-3.090199,-2.144014,-0.667701,-3.894001,-4.412077;56.168892,65.376019,48.519925,68.102142,40.941293,66.804105,67.133142,68.587612,63.571421,48.657095
20.434660,35.837622,30.917361,19.355690,21.067339,25.953819,31.679877,20.451324,12.645295,34.658447;-0.098884,-2.744779,-4.291104,-0.046033,-4.218613,-3.413506,-1.477960,-1.310825,-1.774060,-4.245794;43.372648,58.775610,53.855349,42.293678,44.005327,48.891807,54.617864,43.389312,35.583283,57.596435
22.789715,35.158686,15.358139,37.772421,34.805008,10.164623,18.929303,20.424778,39.282447,30.387763;-1.247499,-4.451744,-3.572791,-4.225317,-4.403028,-1.766799,-0.763679,-3.433357,-2.752401,-4.600100;46.175332,58.544303,38.743755,61.158037,58.190624,33.550239,42.314919,43.810394,62.668063,53.773379
