10.598028;20.307735,27.920230,11.144617,28.018979,15.395183,29.910018,26.082150,22.709716,24.282462,13.956398;8.370341,5.460648,2.257165,5.334362,5.454351,6.703604,-3.848000,6.231376,-0.519237,5.293108;198.477738,180.957612,53.650311,177.958434,112.465803,228.999971,-71.869048,170.007853,15.886720,102.367798
18.542613;22.279044,19.600663,25.369011,16.089171,22.729105,21.546771,20.505081,12.879062,26.764869,15.591287;3.557767,1.319882,7.385589,-4.980436,-3.216716,6.447631,0.473369,5.866194,0.638923,7.174598;127.620172,74.227099,235.721606,-31.774552,-24.756550,187.282150,58.062998,123.907605,65.457212,160.217753
19.771334;16.271967,20.711514,28.517081,23.198493,13.293859,23.781045,29.198189,22.429985,26.582254,28.654384;7.763180,5.502087,-0.989839,4.192822,7.063756,8.132129,-3.206610,-1.706674,2.954230,7.225652;177.750554,165.384891,23.201027,148.695491,145.332906,244.818863,-42.198879,13.147673,129.958437,258.474935
14.302521;15.816558,27.976365,12.827360,29.968226,26.747527,10.774563,14.956980,20.804098,29.275369,25.640683;4.236593,0.541269,-3.349764,0.423618,6.936315,5.546045,3.811892,5.232108,2.556859,-3.298962;104.764619,52.899046,-5.212330,50.451393,223.285588,97.512519,94.770702,146.605584,112.609303,-46.831337
19.550380;29.436606,18.985252,23.992025,11.969059,22.095454,12.190289,16.720534,17.313416,16.539607,11.231483;-4.944344,6.544220,-1.510941,-0.216039,-4.463400,6.883054,2.366555,3.350225,-2.205809,8.003830;-94.668742,175.119616,14.625421,48.290164,-47.744892,134.782374,90.446019,108.879781,14.392743,140.770832
10.686767;15.793449,23.561367,11.654589,25.955766,25.471428,14.306096,16.027083,18.313004,10.279793,11.639500;-3.681917,5.642170,-3.857021,4.503884,2.793979,3.889689,8.965341,-0.825967,0.241377,7.143097;-29.433250,161.654160,-16.235078,145.618674,99.883544,84.363183,172.405179,13.590982,31.198218,111.858991
14.860554;22.145028,13.437731,14.012629,24.121922,12.653612,13.488542,29.779036,25.522165,10.498460,12.963636;-1.640850,6.362482,-2.748174,7.140015,8.832697,-2.455330,-2.197687,5.442693,3.145752,2.189803;2.814709,124.648704,0.642246,211.382272,150.916913,6.032557,-26.293624,178.060701,72.176936,67.539187
12.803256;13.297985,26.331410,12.222032,21.255785,12.605924,16.319561,15.267740,15.399437,15.857192,17.857851;2.892304,4.901799,4.072287,-4.698279,3.832556,-2.099824,-4.665507,9.124281,7.932644,7.603527;72.469957,163.079413,83.779769,-65.857477,82.321043,-0.260068,-37.223609,174.516925,159.797602,169.790790
18.884474;12.996587,28.032550,28.578826,18.950124,14.901666,24.805191,11.241913,13.948764,13.254675,11.197896;-4.706237,9.462997,-2.482538,3.364011,9.453142,2.764985,3.592091,-3.193990,5.937069,-3.529570;-11.953840,314.483110,-21.736836,112.959606,190.078750,117.797163,89.593160,4.658975,127.905098,9.687426
14.007684;15.121993,19.750086,22.195812,17.978183,16.964644,22.851567,29.883458,28.459803,23.808346,25.303427;8.886943,0.268894,6.243585,8.212687,7.786845,-1.972227,-1.049592,7.095459,-0.303607,9.082570;171.407507,42.329888,175.600651,184.668393,169.120272,-8.049258,5.653760,238.954575,29.790823,266.839348
