10.371588;4.236092;29.833995,26.635527,20.355481,10.253942,23.430607,20.533882,25.530472,10.876621,17.356528,13.215692;1.191593,-2.043519,5.817755,3.433611,-3.020150,8.448155,2.932740,8.234505,7.480671,9.582178;65.715029,-24.265150,148.588267,65.373104,-40.598881,203.638472,105.039293,119.728647,160.003535,156.800172
15.276944;4.240324;25.307486,12.504333,29.309876,24.656204,18.559747,22.771887,22.619097,18.411004,12.748104,24.954444;-4.090546,4.214366,5.214048,9.423362,7.449165,-1.634259,9.535898,2.486593,-2.501648,8.861538;-61.088742,95.130522,195.255799,274.777007,180.687301,5.217520,258.126073,88.213363,10.541420,263.567433
13.378329;9.503400;23.537391,28.961649,24.746274,27.908654,13.548129,21.354691,29.589366,27.143321,13.492254,13.295444;2.528577,0.156573,-2.832585,-0.262247,2.902419,-0.282271,-1.281078,-4.451478,6.514166,5.657686;102.465322,47.483827,-27.146700,35.630260,82.271569,36.921421,5.042944,-77.878674,130.840009,118.170670
16.861463;5.201726;21.832064,29.743556,27.665550,10.297886,25.571223,27.560696,24.650330,20.134105,10.212782,23.549875;3.814296,7.317217,9.879990,1.181702,7.130394,-1.624331,-2.399671,-3.982602,-1.494542,-4.603036;130.629348,264.995433,320.690729,59.524417,229.688263,2.587703,-11.797300,-32.830745,32.091955,-61.045540
17.582367;5.457588;11.999433,22.337259,18.087558,21.148197,25.520256,22.961188,28.815817,20.570774,28.925566,15.736303;1.066500,6.038483,6.220507,9.109637,8.134712,8.167304,6.249688,-2.362976,8.947591,-2.639413;62.210893,184.296665,161.927289,242.065905,257.013430,236.944517,229.503358,0.805257,308.227650,7.878904
11.464223;8.894640;19.454594,24.547252,24.056263,19.987972,20.768935,20.333949,26.844663,18.759699,24.883568,12.228203;3.042523,0.140750,9.125996,9.437820,0.705557,5.713120,9.265153,9.607200,-0.126794,-1.121204;96.746248,41.010220,257.092552,226.198080,52.208873,153.725486,286.275119,217.783374,34.400113,23.844891
10.656998;8.382994;20.430168,23.238924,12.222515,16.976980,21.073923,11.536789,16.006643,16.084549,25.149875,16.514171;6.587475,6.605747,-3.937482,6.483455,7.249228,3.225651,6.943024,4.504987,5.184395,5.983434;169.608711,188.535943,-13.100444,145.094982,187.795166,72.239142,146.159994,107.486175,165.412376,133.836946
18.428789;8.185534;12.403877,25.838785,14.624198,12.706553,18.991651,17.454740,19.128542,10.711719,24.299184,11.438706;9.792973,6.747157,4.425400,-1.230216,4.334136,3.237623,5.589191,0.068384,2.302248,8.487019;175.728336,228.595834,118.975432,38.625696,136.569911,110.769383,161.170583,54.990016,110.200248,151.338026
17.975310;7.713084;21.816711,18.052671,13.986953,11.080437,21.522537,23.869850,23.772296,24.252973,23.388586,13.618183;-2.856124,5.891892,2.525233,0.228999,6.503161,3.397439,9.080120,9.484560,2.871842,-2.101859;-9.659880,159.015741,87.971671,55.188768,192.615877,133.747709,268.506669,282.680139,119.819674,24.027858
10.393145;4.003681;15.316470,19.171381,18.795770,13.137339,16.230803,27.650182,16.393714,23.812879,16.969518,16.859894;-1.499926,3.855803,8.861198,5.092774,5.293205,5.802761,-1.055740,0.907157,-4.064708,9.570099;7.012973,103.907611,196.539585,96.892044,115.899501,190.433938,12.679045,51.588553,-38.989586,191.337387
