11.861471;18.548725,16.644855,16.760584,18.967561,19.221868,29.882435,29.815738,26.374464,22.075263,13.640457;-4.608329,8.841542,0.548831,3.980246,-1.463754,2.813580,-0.730832,-0.684485,8.332582,-0.130251;4.553665,3.353078,2.789483,0.950836,0.760866,2.449456,5.513766,8.087053,0.810111,1.942584;0.636156
18.405237;20.518023,17.072973,23.554567,26.797412,24.421747,14.400016,22.152245,12.731290,25.358077,25.819863;9.582105,9.713604,9.449072,6.664383,-2.027043,7.123381,2.347103,-3.243021,6.406395,-2.475724;5.563773,6.237056,6.716025,3.620729,2.357738,4.569672,1.771184,1.381642,1.569832,1.557524;0.859369
10.960938;18.866511,24.264793,14.330798,19.127008,12.243270,11.534700,19.898974,27.002799,21.342551,29.927099;0.045142,9.868845,1.867562,7.808573,9.395376,-2.241014,3.669517,4.134082,1.933100,1.119886;5.167360,4.773142,9.895460,4.298798,1.512090,1.007632,7.637000,8.308309,0.861669,7.741207;0.672028
11.476301;28.903044,16.198796,17.085878,15.607114,25.046590,12.801649,23.654116,20.553268,29.398712,21.662604;3.818875,7.193132,1.353093,-3.201159,9.996368,4.019870,5.781255,-3.941430,-0.176049,8.049739;2.440994,2.567630,0.189341,6.466488,9.445930,8.605862,3.846801,5.094818,3.335213,5.584958;0.619488
18.490193;28.773408,27.914705,15.176400,13.661884,15.883651,26.085189,10.096409,25.693378,16.125675,11.259842;-0.054559,1.001209,6.572206,1.911940,2.207077,-2.811887,8.116216,-0.796837,-2.617992,5.558520;4.634868,7.455994,1.849340,8.529530,0.405581,7.447360,7.180481,3.794639,6.138621,9.367588;1.401901
16.310386;12.664007,17.853297,14.994471,25.018410,14.726636,22.975498,25.368114,27.474077,15.924694,10.464045;0.066361,-1.782591,-1.653970,-0.744307,5.514107,6.360483,3.193373,-4.089104,-2.008037,-0.132482;2.868361,7.425307,9.707247,8.985612,5.344892,4.773453,1.108156,6.288404,4.085850,8.229596;1.040569
16.242199;17.576317,26.770336,24.204756,20.401442,29.613691,23.707265,25.055695,10.903444,29.623119,13.194873;-0.952842,2.579475,3.165784,-1.043325,4.595473,-3.417211,6.525401,-3.632929,8.742611,-4.934068;5.830539,5.385633,8.218075,3.896295,2.461711,6.633132,0.929326,8.867769,3.080236,9.516240;0.953163
13.568049;21.767334,22.873115,29.816052,28.373320,11.051310,19.193233,24.602748,17.147259,22.687708,12.711525;4.255813,9.363975,-1.548199,2.302376,5.287288,3.023910,-0.108994,-3.011489,0.859506,7.656155;2.662439,5.672940,3.646006,5.248048,5.322413,8.661660,4.221819,7.871763,9.351237,4.502584;0.790805
10.746731;23.910064,23.430109,11.142706,20.994965,17.013755,15.802061,21.315925,18.261701,27.523466,23.639386;5.246036,6.511090,9.212173,7.339129,-3.188833,9.771281,3.332997,-2.177918,4.264053,-0.247237;0.480761,1.471014,1.842884,8.454547,1.211865,7.392287,0.168693,4.114064,5.398964,0.765183;0.507345
12.962897;18.369982,28.500221,26.390896,24.125926,29.301849,12.387419,13.349752,23.393808,28.685112,14.403248;-1.091221,3.801630,-3.590616,4.125788,9.049210,0.987094,-2.612599,9.163496,-2.504814,4.309684;3.786985,9.308848,0.410376,4.152728,8.560940,7.205854,3.314053,0.216204,1.411891,0.730664;0.793486
