8.115839,-7.460264,8.267517,2.647185,-8.049192,-4.430036,0.937630,9.150137,9.297771,-6.847738;6.294474,8.115839,-7.460264,8.267517,2.647185,-8.049192,-4.430036,0.937630,9.150137,9.297771;10545.934341
8.679865,3.574703,5.154803,4.862649,-2.155460,3.109558,-6.576266,4.120922,-9.363343,-4.461540;6.982586,8.679865,3.574703,5.154803,4.862649,-2.155460,3.109558,-6.576266,4.120922,-9.363343;5548.507706
-0.204712,-1.088276,2.926260,4.187297,5.093734,-4.479498,3.594054,3.101960,-6.747765,-7.620046;-6.262548,-0.204712,-1.088276,2.926260,4.187297,5.093734,-4.479498,3.594054,3.101960,-6.747765;3298.940310
-7.227511,-7.014120,-4.849835,6.814345,-4.914356,6.285697,-5.129501,8.585272,-3.000325,-6.068095;0.944311,-7.227511,-7.014120,-4.849835,6.814345,-4.914356,6.285697,-5.129501,8.585272,-3.000325;9700.016871
1.356433,-8.482914,-8.920998,0.615951,5.583345,8.680214,-7.401876,1.376473,-0.612187,-9.761959;-2.391083,1.356433,-8.482914,-8.920998,0.615951,5.583345,8.680214,-7.401876,1.376473,-0.612187;6949.787282
-8.323572,-5.420461,8.266747,-6.952440,6.516340,0.766849,9.922694,-8.436489,-1.146435,-7.866945;-0.989168,-8.323572,-5.420461,8.266747,-6.952440,6.516340,0.766849,9.922694,-8.436489,-1.146435;12600.396389
-4.723942,-7.089220,-7.278629,7.385844,1.594092,0.997204,-7.100904,7.060622,2.441103,-2.980952;-6.363059,-4.723942,-7.089220,-7.278629,7.385844,1.594092,0.997204,-7.100904,7.060622,2.441103;6107.827776
-0.214947,-3.245612,8.001077,-2.615064,-7.775945,5.605041,-2.205223,-5.166174,-1.921757,-8.070909;-0.182718,-0.214947,-3.245612,8.001077,-2.615064,-7.775945,5.605041,-2.205223,-5.166174,-1.921757;5959.716287
4.634448,2.954919,-0.981526,0.940178,-4.073584,4.893856,-6.220900,3.735509,-6.329777,-2.630308;2.982309,4.634448,2.954919,-0.981526,0.940178,-4.073584,4.893856,-6.220900,3.735509,-6.329777;4858.700063
5.896628,2.886363,-2.427812,6.231609,0.656512,-2.985458,8.780031,7.518856,1.003127,2.449502;6.352554,5.896628,2.886363,-2.427812,6.231609,0.656512,-2.985458,8.780031,7.518856,1.003127;3628.383902
8.467593,-1.395852,-6.303674,8.097619,9.594968,-1.222601,-7.777616,-4.838706,-1.825603,1.897921;-3.777954,8.467593,-1.395852,-6.303674,8.097619,9.594968,-1.222601,-7.777616,-4.838706,-1.825603;7111.344107
-9.415594,8.577083,4.606617,-0.227821,1.570501,-5.254328,-0.823023,9.261771,0.936114,0.422717;6.020292,-9.415594,8.577083,4.606617,-0.227821,1.570501,-5.254328,-0.823023,9.261771,0.936114;8735.355353
-4.762576,-3.292863,3.594559,-7.268937,4.424550,-7.864763,3.075147,-0.116521,5.581034,4.300742;-8.025754,-4.762576,-3.292863,3.594559,-7.268937,4.424550,-7.864763,3.075147,-0.116521,5.581034;6625.007936
7.188846,6.109788,1.534430,-6.341551,-5.201360,7.730239,-9.426517,-0.201972,-6.641457,9.573613;2.353328,7.188846,6.109788,1.534430,-6.341551,-5.201360,7.730239,-9.426517,-0.201972,-6.641457;9971.527124
-7.002691,3.192105,0.371899,9.459491,2.979830,6.006612,-0.924046,-1.352170,6.506276,-8.330604;4.448792,-7.002691,3.192105,0.371899,9.459491,2.979830,6.006612,-0.924046,-1.352170,6.506276;7289.850813
-1.366977,-9.690257,9.681274,-6.656632,-7.875673,-2.551805,-6.037632,-0.206247,-3.210132,9.032609;-4.160318,-1.366977,-9.690257,9.681274,-6.656632,-7.875673,-2.551805,-6.037632,-0.206247,-3.210132;9982.171935
0.782529,3.962110,3.330558,-6.437351,-7.439712,9.981608,-6.577579,-9.347984,1.223996,7.637330;3.326777,0.782529,3.962110,3.330558,-6.437351,-7.439712,9.981608,-6.577579,-9.347984,1.223996;8908.233257
-7.587768,1.790150,-5.476246,-2.307618,1.659728,-4.963878,-4.191187,2.341818,-4.694382,6.487525;-0.359559,-7.587768,1.790150,-5.476246,-2.307618,1.659728,-4.963878,-4.191187,2.341818,-4.694382;5030.936377
-3.745622,-6.770305,-6.424676,-1.542286,-8.115413,1.970473,-0.581515,3.918986,3.997757,2.770615;-1.494814,-3.745622,-6.770305,-6.424676,-1.542286,-8.115413,1.970473,-0.581515,3.918986,3.997757;2368.576312
2.219173,5.576045,-1.530942,-8.183534,-4.670570,-6.926866,-4.379894,-1.198297,0.542855,-0.851513;-7.887416,2.219173,5.576045,-1.530942,-8.183534,-4.670570,-6.926866,-4.379894,-1.198297,0.542855;2793.083578
-5.519199,3.356655,6.887843,-3.110752,5.610393,3.506641,-9.865694,2.043410,-2.264576,8.319825;-4.904197,-5.519199,3.356655,6.887843,-3.110752,5.610393,3.506641,-9.865694,2.043410,-2.264576;7525.013919
-6.945576,-3.177508,2.147784,-6.165095,4.768537,-5.143008,8.348487,-4.618768,5.310000,-6.226760;-0.530280,-6.945576,-3.177508,2.147784,-6.165095,4.768537,-5.143008,8.348487,-4.618768,5.310000;9816.141957
4.185634,-5.275388,-7.612075,2.146079,-0.997246,-0.825490,3.238895,5.405710,-2.995640,3.240192;-5.821302,4.185634,-5.275388,-7.612075,2.146079,-0.997246,-0.825490,3.238895,5.405710,-2.995640;4528.489369
2.911037,-0.410736,2.786339,0.894322,2.946230,0.877719,4.420932,0.449906,9.874092,-5.626467;8.796589,2.911037,-0.410736,2.786339,0.894322,2.946230,0.877719,4.420932,0.449906,9.874092;4417.889192
-7.222516,3.925327,-8.123599,0.508088,0.606884,7.222796,-0.302933,-2.130873,3.428623,4.825159;-6.159433,-7.222516,3.925327,-8.123599,0.508088,0.606884,7.222796,-0.302933,-2.130873,3.428623;5084.217940
-2.105850,3.668317,4.080949,-1.153892,-9.608448,-3.382842,-1.513810,-4.594592,-6.058924,6.434424;4.726801,-2.105850,3.668317,4.080949,-1.153892,-9.608448,-3.382842,-1.513810,-4.594592,-6.058924;4154.483757
