-0.778378;38.660109,23.607548,30.206935,28.748774,29.957751,12.481119,12.580611,15.641294,33.537829,32.909144;3.552039,-4.152374,-4.631826,3.111489,3.051584,-3.116740,-1.430018,2.914421,-4.007157,-3.947632;223.965230,216.260817,215.781364,223.524679,223.464775,217.296450,218.983173,223.327612,216.406034,216.465558
-1.816612;14.930925,34.144632,26.515859,32.276041,11.036489,24.063669,23.699042,12.237882,35.680796,27.688150;2.955825,-3.400599,1.469791,3.391569,1.122243,-0.059305,3.311371,0.508481,3.966424,3.229428;-377.693280,-384.049704,-379.179313,-377.257535,-379.526861,-380.708409,-377.337733,-380.140623,-376.682680,-377.419676
-7.209136;18.986808,13.170280,34.483549,20.498678,21.230769,29.857034,29.406132,20.367086,13.691445,29.044049;-2.609710,3.954089,3.254066,-3.659472,2.836243,3.085454,1.767874,-3.404939,3.815025,-4.604881;-79.933678,-73.369879,-74.069901,-80.983439,-74.487725,-74.238513,-75.556093,-80.728906,-73.508943,-81.928849
8.454848;31.407256,31.593959,32.320768,22.862392,39.793362,37.528500,14.242635,30.555487,26.293924,25.529138;-4.653642,-1.647647,-1.923346,-1.385292,-2.865073,3.280847,-2.668474,2.782722,-3.967436,-4.481557;487.656936,490.662931,490.387232,490.925287,489.445505,495.591425,489.642104,495.093300,488.343142,487.829021
-7.488722;32.669114,10.165723,11.272692,28.068872,10.790735,12.491550,16.713713,15.186802,33.485391,20.339622;2.783184,1.054149,4.863353,3.369684,3.693043,0.538672,3.542698,-3.808543,-0.789406,-2.749683;-202.224195,-203.953230,-200.144026,-201.637695,-201.314335,-204.468707,-201.464680,-208.815922,-205.796785,-207.757062
-3.866853;24.236429,18.484266,39.433498,27.280130,16.859844,36.212479,31.771099,32.872827,26.611433,29.938594;-4.206186,1.122668,-1.990749,4.011791,1.280229,-1.105406,-3.955921,0.300324,4.206229,-2.036562;153.842811,159.171665,156.058248,162.060788,159.329226,156.943591,154.093076,158.349321,162.255225,156.012435
-1.319327;20.243708,13.836403,31.312587,19.460036,35.746599,24.298683,11.972857,37.401342,39.608775,13.345753;3.036289,-1.111953,-0.624866,-0.220634,4.064560,0.961486,-0.340998,2.025792,-3.845684,1.295375;-101.087554,-105.235796,-104.748709,-104.344477,-100.059284,-103.162358,-104.464841,-102.098052,-107.969527,-102.828468
9.448141;13.314026,27.608031,29.505773,13.426995,38.551879,26.982959,31.223512,22.586447,14.956706,38.069505;1.850501,3.600302,4.387518,-1.657707,-3.876609,-1.015277,1.711450,1.024924,-2.328387,-4.996891;131.000305,132.750106,133.537322,127.492097,125.273195,128.134527,130.861254,130.174728,126.821417,124.152913
0.569496;10.076621,22.244236,37.142911,31.453272,34.304490,33.299770,23.260469,31.084675,13.841793,18.756026;-1.226064,2.006470,4.620447,-4.130087,2.098405,-1.486658,-2.350204,-1.624444,-2.581990,-0.495235;78.610745,81.843279,84.457257,75.706722,81.935214,78.350152,77.486605,78.212365,77.254819,79.341574
-5.922254;12.238645,17.968947,33.633276,27.231827,36.235945,30.357492,28.003852,14.282751,37.236626,20.237869;3.886719,-2.358012,0.045839,-2.131312,-4.068523,-4.248956,2.305133,2.370250,2.719729,-1.879927;189.788112,183.543382,185.947233,183.770081,181.832871,181.652438,188.206527,188.271644,188.621123,184.021467
4.817725;12.582025,27.713581,23.977263,23.074725,37.840011,35.195260,28.844751,36.375907,26.175430,15.741219;0.331034,3.564854,-4.589929,4.964461,0.349651,-2.959194,4.542858,3.357464,1.150347,4.868161;-344.550002,-341.316183,-349.470965,-339.916575,-344.531385,-347.840230,-340.338178,-341.523572,-343.730690,-340.012875
9.320512;20.949328,14.871223,39.070764,31.420298,14.516395,11.888163,27.594810,22.089700,10.767148,15.800834;1.318887,0.423795,-3.740251,-0.507865,-2.126396,3.443038,-4.373245,0.018803,-3.333463,3.805438;245.658354,244.763261,240.599216,243.831602,242.213070,247.782504,239.966222,244.358269,241.006003,248.144904
6.190395;30.843663,22.740016,30.499734,27.177375,20.994874,34.764946,19.753534,12.072219,10.777494,26.557291;-1.214059,1.101507,-0.174560,-2.143261,2.378700,-1.856403,0.136106,1.090862,3.646684,-3.724537;162.915486,165.231053,163.954986,161.986284,166.508246,162.273143,164.265651,165.220408,167.776229,160.405008
-7.573550;25.649550,29.896923,19.094301,32.364298,36.030027,27.737641,39.836451,36.116879,20.298551,33.171149;-1.323730,1.374647,-3.100900,-3.954974,-1.528746,4.874953,1.749558,-2.140377,-1.557012,3.513309;43.720303,46.418680,41.943133,41.089058,43.515287,49.918986,46.793590,42.903655,43.487021,48.557342
2.050689;28.242517,21.744530,17.976468,12.338252,32.577344,23.093233,28.631826,12.991294,29.015930,31.604539;-2.669099,2.975506,3.397823,-2.726088,-3.035638,2.910530,-0.784792,4.016689,-0.024011,-0.543414;26.277166,31.921771,32.344088,26.220177,25.910627,31.856795,28.161473,32.962954,28.922254,28.402851
