8.115839,-7.460264,8.267517,2.647185,-8.049192,-4.430036,0.937630,9.150137,9.297771,-6.847738;6.294474,8.115839,-7.460264,8.267517,2.647185,-8.049192,-4.430036,0.937630,9.150137,9.297771;485.601181,2878.577140,2926.058364,768.308816,1596.552247,583.410397,740.545859,1126.880077,452.645434,3059.202107
8.679865,3.574703,5.154803,4.862649,-2.155460,3.109558,-6.576266,4.120922,-9.363343,-4.461540;6.982586,8.679865,3.574703,5.154803,4.862649,-2.155460,3.109558,-6.576266,4.120922,-9.363343;351.336760,583.155981,347.496350,323.382740,815.067741,599.733289,1260.681080,1466.827517,2140.783186,562.805909
-0.204712,-1.088276,2.926260,4.187297,5.093734,-4.479498,3.594054,3.101960,-6.747765,-7.620046;-6.262548,-0.204712,-1.088276,2.926260,4.187297,5.093734,-4.479498,3.594054,3.101960,-6.747765;557.358692,198.191795,351.549952,206.287072,198.601224,1106.852672,842.207362,192.806503,1160.555843,197.993686
-7.227511,-7.014120,-4.849835,6.814345,-4.914356,6.285697,-5.129501,8.585272,-3.000325,-6.068095;0.944311,-7.227511,-7.014120,-4.849835,6.814345,-4.914356,6.285697,-5.129501,8.585272,-3.000325;1041.762976,374.431628,420.817564,1734.507229,1749.600668,1628.388129,1677.043529,2254.926279,1716.236881,468.088416
1.356433,-8.482914,-8.920998,0.615951,5.583345,8.680214,-7.401876,1.376473,-0.612187,-9.761959;-2.391083,1.356433,-8.482914,-8.920998,0.615951,5.583345,8.680214,-7.401876,1.376473,-0.612187;493.889717,1321.578464,355.370136,1262.984868,600.200951,449.356946,2939.786997,1124.045085,392.998667,1190.634138
-8.323572,-5.420461,8.266747,-6.952440,6.516340,0.766849,9.922694,-8.436489,-1.146435,-7.866945;-0.989168,-8.323572,-5.420461,8.266747,-6.952440,6.516340,0.766849,9.922694,-8.436489,-1.146435;989.843249,536.188950,2325.304957,2768.144852,2265.988492,782.474818,1290.203460,3822.504651,983.357361,903.560914
-4.723942,-7.089220,-7.278629,7.385844,1.594092,0.997204,-7.100904,7.060622,2.441103,-2.980952;-6.363059,-4.723942,-7.089220,-7.278629,7.385844,1.594092,0.997204,-7.100904,7.060622,2.441103;393.380929,422.459293,366.872614,2516.981536,701.957818,370.076608,1022.307402,2372.002156,579.913484,660.500664
-0.214947,-3.245612,8.001077,-2.615064,-7.775945,5.605041,-2.205223,-5.166174,-1.921757,-8.070909;-0.182718,-0.214947,-3.245612,8.001077,-2.615064,-7.775945,5.605041,-2.205223,-5.166174,-1.921757;238.049735,329.888625,1502.919422,1365.063910,504.386225,2028.547281,848.041683,325.711657,343.301777,616.160101
4.634448,2.954919,-0.981526,0.940178,-4.073584,4.893856,-6.220900,3.735509,-6.329777,-2.630308;2.982309,4.634448,2.954919,-0.981526,0.940178,-4.073584,4.893856,-6.220900,3.735509,-6.329777;206.439499,207.352051,334.099895,216.073344,430.521960,983.293699,1414.521866,1170.444568,1192.243625,316.004588
5.896628,2.886363,-2.427812,6.231609,0.656512,-2.985458,8.780031,7.518856,1.003127,2.449502;6.352554,5.896628,2.886363,-2.427812,6.231609,0.656512,-2.985458,8.780031,7.518856,1.003127;216.409726,304.948040,496.735597,964.186852,525.148152,346.970476,1598.598396,230.236667,638.878335,235.251045
